date,open,high,low,close,volume,ma5,ma10,ma20,ma60,ma5_ratio,ma10_ratio,ma20_ratio,ma60_ratio,bollinger_mid,bollinger_upper,bollinger_lower,bollinger_pct_b,bollinger_bandwidth,return_1d,return_5d,return_10d,return_20d,volatility_5d,volatility_10d,volatility_20d,rsi_14,macd,macd_signal,macd_histogram,obv,mfi_14,atr_14,volume_ratio_20d,price_position_20d,price_position_60d,future_return,return,volatility,rsi,volume_change,csi300_return_1d,csi300_return_5d,csi300_volatility_20d,market_breadth,open_norm,high_norm,low_norm,close_norm,volume_norm,ma5_norm,ma10_norm,ma20_norm,ma60_norm,ma5_ratio_norm,ma10_ratio_norm,ma20_ratio_norm,ma60_ratio_norm,bollinger_mid_norm,bollinger_upper_norm,bollinger_lower_norm,bollinger_pct_b_norm,bollinger_bandwidth_norm,return_1d_norm,return_5d_norm,return_10d_norm,return_20d_norm,volatility_5d_norm,volatility_10d_norm,volatility_20d_norm,rsi_14_norm,macd_norm,macd_signal_norm,macd_histogram_norm,obv_norm,mfi_14_norm,atr_14_norm,volume_ratio_20d_norm,price_position_20d_norm,price_position_60d_norm,return_norm,volatility_norm,rsi_norm,volume_change_norm,csi300_return_1d_norm,csi300_return_5d_norm,csi300_volatility_20d_norm,market_breadth_norm,sector,sector_momentum_5d,sector_momentum_20d,sector_breadth,sector_vol_flow,sector_relative_strength,future_return_rank,future_return_10d,future_return_20d,cs_rank_return_5d,cs_rank_return_20d,cs_rank_volatility,cs_rank_rsi,cs_rank_volume_ratio_20d,cs_rank_ma20_ratio,cs_rank_max_ret_5d,cs_rank_reversal_1d,cs_rank_amihud_illiq,cs_rank_idio_vol_20d,future_return_rank_5d,future_return_rank_10d,future_return_rank_20d
2022-07-15,41.41,49.69,41.41,44.49,13760262.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,-0.189930321420544,,,,,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.0044742729306487,-0.2312879298718813,-0.28882895032591593,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0044742729306487695,0.006711409395973154,0.006711409395973154
2022-07-18,40.04,44.0,40.04,40.05,10972786.0,,,,,,,,,,,,,,-0.0997977073499664,,,,,,,,-0.0996153846153831,-0.0553418803418795,-0.0442735042735036,-10972786.0,,,,,,-0.127840199750312,-0.0997977073499664,,,-0.2025743405176442,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.0089485458612975,-0.15655430711610474,-0.2202247191011235,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.008948545861297539,0.008948545861297539,0.011185682326621925
2022-07-19,38.95,38.95,37.35,37.39,9774024.0,,,,,,,,,,,,,,-0.0664169787765293,,,,,,,,-0.20941621317683,-0.1184870987168592,-0.0909291144599708,-20746810.0,,,,,,-0.0730141749130784,-0.0664169787765293,,,-0.1092486447835581,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.0201342281879194,-0.15806365338325756,-0.16421503075688693,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.020134228187919462,0.024608501118568233,0.015659955257270694
2022-07-20,37.1,37.36,36.61,37.2,6123016.0,,,,,,,,,,,,,,-0.005081572612998,,,,,,,,-0.2610834004299391,-0.1667920789719676,-0.0942913214579715,-26869826.0,,,,,,-0.0602150537634409,-0.005081572612998,,,-0.3735419516056028,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.058165548098434,-0.17419354838709689,-0.163978494623656,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.058165548098434,0.03355704697986577,0.011185682326621925
2022-07-21,37.0,37.0,35.71,35.73,6336546.0,38.972,,,,-0.0831879297957509,,,,,,,,,-0.0395161290322582,,,,,,,,-0.3421567974913486,-0.2189591180365145,-0.123197679454834,-33206372.0,,,,,,-0.0198712566470751,-0.0395161290322582,,,0.034873336930689,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.2058165548098434,-0.1295829834872655,-0.13769941225860616,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.2058165548098434,0.05145413870246085,0.035794183445190156
2022-07-22,35.61,36.85,35.52,36.04,5282880.0,37.282,,,,-0.0333136634300734,,,,,,,,,0.008676182479709,-0.189930321420544,,,0.044332864052739,,,,-0.3712057121808385,-0.2602264097965121,-0.1109793023843264,-27923492.0,,,,,,-0.0510543840177579,0.008676182479709,,,-0.1662839660597429,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.0917225950782997,-0.11875693673695886,-0.15427302996670367,0.002242152466367713,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.09172259507829977,0.06487695749440715,0.024608501118568233
2022-07-25,35.72,36.06,34.66,34.93,4779370.0,36.258,,,,-0.0366263996911027,,,,,,,,,-0.0307991120976692,-0.127840199750312,,,0.0294843123996648,,,,-0.4337260454785223,-0.3041345390385297,-0.1295915064399926,-32702862.0,,,,,,-0.0329229888348124,-0.0307991120976692,,,-0.095309755284996,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.1383928571428571,-0.09390208989407389,-0.12482107071285431,0.006726457399103139,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.13839285714285715,0.05580357142857143,0.020089285714285716
2022-07-26,34.95,34.99,34.34,34.66,2932931.0,35.712,,,,-0.0294578853046596,,,,,,,,,-0.0077297452046951,-0.0730141749130784,,,0.0197635114037714,,,,-0.4815152581485833,-0.3467624614858378,-0.1347527966627454,-35635793.0,,,,,,-0.0917484131563761,-0.0077297452046951,,,-0.3863352282832256,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.1469933184855233,-0.07039815349105594,-0.11656087709174834,0.017897091722595078,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.14699331848552338,0.19821826280623608,0.04899777282850779
2022-07-27,34.51,35.08,34.44,34.96,2697826.0,35.264,,,,-0.0086206896551722,,,,,,,,,0.00865551067513,-0.0602150537634409,,,0.0222645005240967,,,,-0.4923978372174602,-0.3804049557806673,-0.1119928814367929,-32937967.0,,,,,,-0.1212814645308925,0.00865551067513,,,-0.0801604265494142,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.0577777777777777,-0.0995423340961098,-0.14473684210526327,0.05592841163310962,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.057777777777777775,0.06222222222222222,0.042222222222222223
2022-07-28,34.97,35.25,34.88,35.02,2755375.0,35.122,37.047,,,-0.0029041626331073,-0.0547142818581801,,,,,,,,0.0017162471395881,-0.0198712566470751,,,0.0164740140308374,,,,-0.4898632565623302,-0.4049299692014001,-0.08493328736093,-30182592.0,,,,,,-0.1119360365505426,0.0017162471395881,,,0.0213316203491256,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.0488888888888888,-0.09737292975442613,-0.15248429468874936,0.203579418344519,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.04888888888888889,0.05555555555555555,0.04
2022-07-29,34.97,34.97,34.2,34.2,3184390.0,34.754,36.018,,,-0.0159406111526729,-0.0504747626186905,,,,,,,,-0.0234151913192461,-0.0510543840177579,-0.2312879298718813,,0.0166021729370623,0.0353256110427803,,,-0.524847767160999,-0.4311672981923284,-0.0936804689686705,-33366982.0,,,,,,-0.0713450292397661,-0.0234151913192461,,,0.155701129610307,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.1466666666666666,-0.07485380116959073,-0.14912280701754388,0.0894854586129754,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.14666666666666667,0.07777777777777778,0.044444444444444446
2022-08-01,34.16,34.16,33.73,33.78,2400289.0,34.524,35.391,,,-0.0215502259297879,-0.0455200474696956,,,,,,,,-0.012280701754386,-0.0329229888348124,-0.1565543071161047,,0.0124316868080875,0.0237981356666827,,,-0.5664272107281079,-0.4602154548233108,-0.106211755904797,-35767271.0,,,,,,-0.0630550621669627,-0.012280701754386,,,-0.2462327164700304,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.0957683741648107,-0.07548845470692722,-0.14357608052101845,0.13870246085011187,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0957683741648107,0.066815144766147,0.0467706013363029
2022-08-02,33.4,33.43,31.0,31.48,3643018.0,33.888000000000005,34.8,,,-0.0710576015108593,-0.0954022988505746,,,,,,,,-0.0680876258140912,-0.0917484131563761,-0.1580636533832575,,0.0302808667190858,0.0241892136192937,,,-0.7196725535759825,-0.5151255912479267,-0.2045469623280558,-39410289.0,,,,,,0.0235069885641676,-0.0680876258140912,,,0.5177414053057778,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.5055679287305123,-0.007306226175349484,-0.08100381194409145,0.14541387024608501,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5055679287305123,0.0801781737193764,0.062360801781737196
2022-08-03,30.99,31.81,30.66,30.72,2713470.0,33.040000000000006,34.152,,,-0.0702179176755449,-0.1004919184820801,,,,,,,,-0.0241423125794155,-0.1212814645308925,-0.1741935483870968,,0.0261487883791797,0.0239138381243948,,4.434149569410522,-0.8690783799564343,-0.5891727787354959,-0.2799056012209384,-42123759.0,8.20036420685581,1.9507142857142863,,,,0.0247395833333334,-0.0241423125794155,,4.434149569410522,-0.2551587722048039,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.4565701559020044,0.01236979166666674,-0.08658854166666663,0.05580357142857143,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.45657015590200445,0.11581291759465479,0.0935412026726058
2022-08-04,30.78,31.15,30.6,31.1,2105424.0,32.256,33.689,,,-0.0358382936507936,-0.0768500103891477,,,,,,,,0.0123697916666667,-0.1119360365505426,-0.1295829834872655,,0.0291557667742681,0.0245149623697108,,6.778566816688894,-0.9481143879647432,-0.6635790380964389,-0.2845353498683044,-40018335.0,7.976654009553357,1.398571428571429,,,,0.0163987138263665,0.0123697916666667,,6.778566816688894,-0.2240842905946998,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.3051224944320713,-0.00932475884244377,-0.10257234726688103,0.046875,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.3051224944320713,0.10690423162583519,0.08908685968819599
2022-08-05,30.85,31.98,30.81,31.76,2784492.0,31.768,33.261,,,-0.0002518257365902,-0.0451279276028983,,,,,,,,0.0212218649517685,-0.0713450292397661,-0.1187569367369588,,0.0352387234948984,0.0260491598735465,,14.60290349953516,-0.956140874611222,-0.7237860830572106,-0.2323547915540115,-37233843.0,13.759641266861408,1.1642857142857146,,,,-0.0037783375314861,0.0212218649517685,,14.60290349953516,0.3225326585048902,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.1533333333333333,-0.04030226700251893,-0.11177581863979846,0.14508928571428573,0.5,0.5,0.008968609865470852,0.5,0.5,0.5,0.5,0.5,0.5,0.15333333333333332,0.08222222222222222,0.06888888888888889
2022-08-08,31.7,31.98,31.3,31.65,1658976.0,31.342,32.93300000000001,,,0.0098270691085442,-0.0389578841891115,,,,,,,,-0.0034634760705291,-0.0630550621669627,-0.0939020898940738,,0.0355767668028523,0.0253100564339236,,18.66812226788923,-0.957203859707448,-0.7715450752852674,-0.1856587844221807,-38892819.0,19.40544176204206,1.020000000000001,,,,-0.0132701421800947,-0.0034634760705291,,18.66812226788923,-0.4042087389728539,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.1463414634146341,-0.034123222748815074,-0.11026856240126381,0.09375,0.5,0.5,0.01569506726457399,0.5,0.5,0.5,0.5,0.5,0.5,0.14634146341463414,0.11529933481152993,0.0975609756097561
2022-08-09,31.68,32.28,31.67,32.22,2262228.0,31.49,32.689,,,0.0231819625277867,-0.0143473339655542,,,,,,,,0.0180094786729858,0.0235069885641676,-0.0703981534910559,,0.0187577464735571,0.0267780562365886,,23.8993710656752,-0.9103286703079548,-0.7998109877002831,-0.1105176826076715,-36630591.0,26.015936614557887,1.009285714285715,,,,-0.0301055245189323,0.0180094786729858,,23.8993710656752,0.3636291302586656,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.0399113082039911,-0.04965859714463061,-0.11918063314711358,0.5044642857142857,0.5,0.5,0.06053811659192825,0.5,0.5,0.5,0.5,0.5,0.5,0.03991130820399113,0.07760532150776053,0.04656319290465632
2022-08-10,31.9,32.0,31.32,31.48,2157528.0,31.642000000000003,32.341,,,-0.0051197775109033,-0.0266225534151696,,,,,,,,-0.0229671011793916,0.0247395833333334,-0.0995423340961098,,0.0183063692784233,0.0265980866266644,,25.879682175229178,-0.910702242318756,-0.8223135345004061,-0.0883887078183497,-38788119.0,29.0282017494375,0.9671428571428576,,,,-0.0120711562897076,-0.0229671011793916,,25.879682175229178,-0.046281807138803,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.1177777777777777,-0.050190597204574416,-0.09783989834815765,0.4563758389261745,0.5,0.5,0.07865168539325842,0.5,0.5,0.5,0.5,0.5,0.5,0.11777777777777777,0.19333333333333333,0.08444444444444445
2022-08-11,31.5,31.72,31.47,31.61,1415532.0,31.744,32.0,34.5235,,-0.0042212701612903,-0.0121875,-0.0843917910988166,,34.5235,41.401211599224354,27.64578840077564,0.2881926307903496,0.3984365200054707,0.0041296060991105,0.0163987138263665,-0.0973729297544261,,0.0178459968991079,0.0267278845440666,,24.333719578903043,-0.8915265293951933,-0.8363175892379495,-0.0552089401572437,-37372587.0,33.65221293491214,0.8900000000000006,0.3154727600110108,0.0646332607112227,,-0.0253084466940841,0.0041296060991105,,24.333719578903043,-0.3439102528449225,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.1333333333333333,-0.06105662764947806,-0.11230623220499847,0.3042505592841163,0.5,0.5,0.026905829596412557,0.008988764044943821,0.017977528089887642,0.5,0.5,0.5,0.5,0.13333333333333333,0.18666666666666668,0.08888888888888889
2022-08-12,31.61,31.96,31.51,31.64,1355351.0,31.72,31.744,33.881,,-0.0025220680958385,-0.0032762096774193,-0.0661432661373631,,33.881,39.01942449743007,28.74257550256993,0.281937050826668,0.3033218911729231,0.0009490667510281,-0.0037783375314861,-0.0748538011695907,-0.2888289503259159,0.0148285597533287,0.0264643877861834,0.0317427375836674,28.21192052457004,-0.8640407461600148,-0.8419138368965281,-0.0221269092634867,-36017236.0,41.587149100604925,0.8221428571428573,0.3505122075190043,0.0986066452293827,,-0.0366624525916561,0.0009490667510281,0.0317427375836674,28.21192052457004,-0.0425147577024044,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.1288888888888889,-0.0802781289506953,-0.09260429835651074,0.14955357142857142,0.0022471910112359553,0.7595505617977528,0.03811659192825112,0.024719101123595506,0.038202247191011236,0.5,0.5,0.5,0.5,0.1288888888888889,0.12222222222222222,0.13333333333333333
2022-08-15,31.55,31.55,31.06,31.23,1488623.0,31.636000000000003,31.489,33.440000000000005,,-0.0128334808446074,-0.0082250944774364,-0.0660885167464115,,33.440000000000005,37.80487896980577,29.07512103019424,0.2468429233304684,0.2610573546526741,-0.0129582806573956,-0.0132701421800947,-0.0754884547069272,-0.2202247191011235,0.0158488294051918,0.0264790615097458,0.0249460244654899,27.69830948780532,-0.8599668716615483,-0.8455512834679259,-0.0144155881936224,-37505859.0,43.83811528213256,0.8171428571428575,0.4387898953548251,0.0764617691142961,,-0.0211335254562919,-0.0129582806573956,0.0249460244654899,27.69830948780532,0.0983302480316907,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.2195121951219512,-0.07364713416586621,-0.07684918347742564,0.14253897550111358,0.008988764044943821,0.5887640449438202,0.06040268456375839,0.04269662921348315,0.029213483146067417,0.5,0.5,0.5,0.5,0.21951219512195122,0.1419068736141907,0.18625277161862527
2022-08-16,31.27,31.58,31.2,31.25,1007479.0,31.442,31.466,33.133,,-0.0061064817759683,-0.0068645522150891,-0.056831557661546,,33.133,37.1802582012232,29.085741798776805,0.2673733789139469,0.2443037576561724,0.0006404098623118,-0.0301055245189323,-0.0073062261753494,-0.1642150307568869,0.011524812057534,0.0157497062522278,0.0215273351377111,24.966261803650127,-0.8452535890360551,-0.8454913910390532,0.0002378020029981,-36498380.0,40.172147518781486,0.7985714285714288,0.3410284725952269,0.081790123455528,,-0.0201599999999999,0.0006404098623118,0.0215273351377111,24.966261803650127,-0.3232141381666144,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他,0,0,0.5,1.0,0,0.2860310421286031,-0.07423999999999997,-0.04927999999999999,0.035634743875278395,0.01348314606741573,0.4449438202247191,0.017897091722595078,0.0044943820224719105,0.024719101123595506,0.5,0.5,0.5,0.5,0.2860310421286031,0.17738359201773837,0.3392461197339246
